id,status,date_assigned,staff_id,truck_id,point_id,,,
1,Completed,2022-03-25,25,14,7,,,
2,Completed,2022-08-25,16,15,13,,,
3,Completed,2022-07-21,29,45,8,,,
4,Cancel,2022-05-12,21,1,14,,,
5,Cancel,2022-10-19,41,34,7,,,
6,Pending,2022-06-22,14,9,7,,,
7,Completed,2022-05-09,3,43,14,,,
8,Completed,2022-09-12,1,37,3,,,
9,Cancel,2022-11-27,29,2,3,,,
10,Completed,2022-08-05,48,19,16,,,
11,In Progress,2022-05-17,16,19,8,,,
12,In Progress,2022-03-24,37,32,14,,,
13,Pending,2022-05-20,14,44,15,,,
14,Completed,2022-11-15,43,34,11,,,
15,Cancel,2022-09-09,13,29,19,,,
16,Pending,2022-09-10,35,31,2,,,
17,Completed,2022-11-28,7,6,12,,,
18,In Progress,2022-11-23,23,28,1,,,
19,Completed,2022-04-07,41,13,18,,,
20,In Progress,2022-09-08,21,35,7,,,
