id,status,date_assigned,staff_id,troller_id,point_id,,,
1,Completed,2022-03-25,51,1,1,,,
2,Completed,2022-08-25,52,2,2,,,
3,Completed,2022-07-21,53,3,3,,,
4,Cancel,2022-05-12,54,4,4,,,
5,Cancel,2022-10-19,55,5,5,,,
6,Pending,2022-06-22,56,6,6,,,
7,Completed,2022-05-09,57,7,7,,,
8,Completed,2022-09-12,58,8,8,,,
9,Cancel,2022-11-27,59,9,9,,,
10,Completed,2022-08-05,60,10,10,,,
11,In Progress,2022-05-17,61,11,11,,,
12,In Progress,2022-03-24,62,12,12,,,
13,Pending,2022-05-20,63,13,13,,,
14,Completed,2022-11-15,64,14,14,,,
15,Cancel,2022-09-09,65,15,15,,,
16,Pending,2022-09-10,66,16,16,,,
17,Completed,2022-11-28,67,17,17,,,
18,In Progress,2022-11-23,68,18,18,,,
19,Completed,2022-04-07,69,19,19,,,
20,In Progress,2022-09-08,70,20,20,,,
21,Pending,2022-10-10,71,21,21,,,
22,Pending,2022-10-28,72,22,22,,,
23,Pending,2022-11-16,73,23,23,,,
24,In Progress,2022-12-10,74,24,24,,,
25,In Progress,2022-10-30,75,25,25,,,
26,In Progress,2022-12-05,76,26,26,,,
27,In Progress,2022-11-17,77,27,27,,,
28,Completed,2022-11-12,78,28,28,,,
29,Completed,2022-10-22,79,29,29,,,
30,Completed,2022-12-08,80,30,30,,,
31,Completed,2022-10-21,81,31,31,,,
32,Completed,2022-12-03,82,32,32,,,
33,Completed,2022-11-17,83,33,33,,,
34,Completed,2022-11-16,84,34,34,,,
35,Completed,2022-10-29,85,35,35,,,
36,Completed,2022-10-28,86,36,36,,,
37,Cancel,2022-11-06,87,37,37,,,
38,Cancel,2022-10-12,88,38,38,,,
39,Cancel,2022-11-18,89,39,39,,,
40,Cancel,2022-11-09,90,40,40,,,
